2026-02-03 11:15:01,311 - VALO360 - DEBUG - 找到指令檔: D:\((Python TOOL\指令工具-20250428T020034Z-001\360-command-tool\Command_TABLE\command.txt
2026-02-03 11:15:01,517 - VALO360 - INFO - 成功載入 94 個指令
2026-02-03 11:15:01,563 - VALO360 - INFO - main.py 啟動
2026-02-03 11:15:01,563 - VALO360 - INFO - 指令通主程式啟動
2026-02-03 11:15:01,564 - VALO360 - INFO - 程式啟動時檢查安全簽名...
2026-02-03 11:15:01,567 - VALO360 - INFO - 安全簽名驗證通過，開始創建GUI...
2026-02-03 11:15:01,568 - VALO360 - DEBUG - ConfigManager: 自動保存已禁用
2026-02-03 11:15:01,568 - VALO360 - INFO - ConfigManager自動保存已禁用
2026-02-03 11:15:01,568 - VALO360 - INFO - 未找到關鍵字高亮設定文件，使用空設定
2026-02-03 11:15:01,804 - VALO360 - DEBUG - 配置已備份至: backup\setup_backup_20260203_111501.json
2026-02-03 11:15:01,813 - VALO360 - DEBUG - 已刪除舊備份: backup\setup_backup_20260108_102814.json
2026-02-03 11:15:01,814 - VALO360 - DEBUG - 配置載入成功
2026-02-03 11:15:01,816 - VALO360 - INFO - 統一設定管理器已初始化
2026-02-03 11:20:38,896 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:20:41,908 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:20:44,938 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:20:47,958 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:20:50,968 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:20:53,980 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:20:56,999 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:21:00,016 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:21:03,028 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:21:06,056 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:21:09,075 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:21:12,096 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:21:15,113 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:21:18,126 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:21:21,146 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:21:24,158 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:21:27,175 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:21:30,192 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:21:33,202 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:21:36,212 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:21:39,224 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:21:42,235 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:21:45,251 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:21:48,272 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:21:51,288 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:21:54,299 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:21:57,314 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:22:00,339 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:22:03,367 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:22:06,374 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:22:09,390 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:22:12,409 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:22:15,425 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:22:18,434 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:22:21,458 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:22:24,473 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:22:27,487 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:22:30,499 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:22:33,518 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:22:36,529 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:22:39,538 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:22:42,548 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:22:45,565 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:22:48,590 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
2026-02-03 11:22:51,608 - VALO360 - DEBUG - 找到 2 個COM口: ['COM4', 'COM7']
